RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED
1,Selena Gomez,celebrities,musicians,105.4Mæ(=),2.62%æ(1342),14.5Mæ(48),1.2kæ(2135)
2,Taylor Swift,celebrities,musicians,95.2Mæ(=),1.96%æ(2040),10.5Mæ(66),958æ(2669)
3,Ariana Grande,celebrities,musicians,92.3Mæ(=),1.43%æ(2759),16.9Mæ(41),2.8kæ(824)
4,Beyonce,celebrities,musicians,90.6Mæ(=),2.53%æ(1427),9.2Mæ(70),1.4kæ(1897)
5,Kim Kardashian West,celebrities,tv,89.3Mæ(=),1.39%æ(2812),5.1Mæ(130),3.6kæ(550)
6,Cristiano Ronaldo,celebrities,athletes,85.1Mæ(=),2.62%æ(1340),3.6Mæ(176),1.6kæ(1612)
7,Kylie,celebrities,models,81.8Mæ(=),1.89%æ(2127),6.2Mæ(103),4.9kæ(302)
8,Justin Bieber,celebrities,musicians,77.9Mæ(=),1.66%æ(2408),26.2Mæ(19),3.8kæ(501)
9,therock,celebrities,athletes,73.3Mæ(=),1.24%æ(3043),1.1Mæ(450),2.5kæ(926)
10,Kendall,celebrities,models,70.9Mæ(=),1.78%æ(2272),3.4Mæ(183),2.7kæ(849)
11,Nicki Minaj,celebrities,musicians,70.8Mæ(=),0.93%æ(3525),3.7Mæ(172),4.2kæ(416)
12,nike,fashion,sport,68.2Mæ(=),1.76%æ(2288),50.6Mæ(5),880æ(2832)
13,National Geographic,media,,65.8Mæ(=),1.14%æ(3184),5.3Mæ(123),12.7kæ(31)
14,Nj,celebrities,athletes,64Mæ(=),1.52%æ(2617),3.3Mæ(188),3.6kæ(555)
15,Leo Messi,celebrities,athletes,61.9Mæ(=),4.27%æ(481),5.1Mæ(134),180æ(4909)
16,Khloe,celebrities,tv,60.2Mæ(=),2.16%æ(1799),1.4Mæ(363),3.1kæ(702)
17,KATY PERRY,celebrities,musicians,59.6Mæ(=),1.50%æ(2657),3.3Mæ(189),507æ(3846)
18,Miley Cyrus,celebrities,musicians,57.8Mæ(=),1.41%æ(2784),6Mæ(106),5.8kæ(200)
19,Jennifer Lopez,celebrities,musicians,55.1Mæ(=),1.23%æ(3052),1.2Mæ(428),1.6kæ(1647)
20,Demi Lovato,celebrities,musicians,51.3Mæ(=),2.65%æ(1320),6Mæ(108),1.5kæ(1782)
21,Kourtney Kardashian,celebrities,tv,50.7Mæ(=),1.24%æ(3030),1Mæ(479),3kæ(746)
22,Victoria's Secret,fashion,,49.1Mæ(=),1.03%æ(3358),3.5Mæ(178),4.3kæ(390)
23,badgalriri,celebrities,musicians,47.3Mæ(=),1.53%æ(2606),1.1Mæ(447),3.7kæ(525)
24,Kevin Hart,celebrities,actors,45.9Mæ(=),0.68%æ(3906),805.8kæ(551),4kæ(457)
25,FC Barcelona,sport,football,43.3Mæ(=),1.78%æ(2271),2.9Mæ(212),8.9kæ(68)
26,Real Madrid C.F.,sport,football,41.8Mæ(=),2.02%æ(1975),6.6Mæ(99),1kæ(2560)
27,Justin Timberlake,celebrities,musicians,39.6Mæ(=),1.42%æ(2767),1.2Mæ(434),498æ(3888)
28,Ellen,celebrities,tv,38.2Mæ(=),1.43%æ(2763),236.9kæ(1114),4.3kæ(399)
29,Cara Delevingne,celebrities,models,36.2Mæ(=),1.55%æ(2584),1.5Mæ(346),3.2kæ(654)
30,Zendaya,celebrities,musicians,36Mæ(=),3.02%æ(1032),511.4kæ(726),3kæ(732)
31,9gag,entertainment,,35Mæ(=),2.42%æ(1525),1.5Mæ(341),11.4kæ(37)
32,David Beckham,celebrities,athletes,31.7Mæ(=),3.23%æ(919),430.1kæ(803),476æ(3955)
33,champagnepapi,celebrities,musicians,31.1Mæ(=),1.33%æ(2900),306.9kæ(966),3.4kæ(602)
34,Vin Diesel,celebrities,actors,30.2Mæ(=),1.76%æ(2299),394kæ(844),986æ(2599)
35,Shakira,celebrities,musicians,28.4Mæ(=),2.06%æ(1921),771kæ(572),664æ(3369)
36,James RodrÕguez,celebrities,athletes,27.8Mæ(=),2.44%æ(1501),537.1kæ(707),634æ(3454)
37,Gigi Hadid,celebrities,models,27.2Mæ(=),1.63%æ(2473),1.6Mæ(338),2.3kæ(1024)
38,LeBron James,celebrities,athletes,27Mæ(=),1.45%æ(2716),2.5Mæ(242),1.3kæ(1981)
39,Gareth Bale,celebrities,athletes,25.3Mæ(=),2.88%æ(1136),399.2kæ(832),509æ(3838)
40,Nike Football (Soccer),fashion,sport,25Mæ(=),3.20%æ(937),471kæ(761),1.4kæ(1923)
41,Zac Efron,celebrities,actors,23.8Mæ(=),4.95%æ(343),508.5kæ(729),361æ(4339)
